Unnamed: 0,district,school,county,grspan,students,teachers,calwpct,mealpct,compstu,expnstu,avginc,elpct,readscr,mathscr,score
1,75119,Sunol Glen Unified,Alameda,KK-08,195,,0.510200024,2.040800095,67.0,6384.911133,22.69000053,none,691.5999756,690.0,690.7999878
2,61499,Manzanita Elementary,Butte,KK-08,240,11.14999962,15.41670036,47.91669846,101.0,5099.380859,9.824000359,4.583333492,660.5,661.9000244,661.2000122
3,61549,Thermalito Union Elementary,Butte,KK-08,1550,82.90000153,55.03229904,76.32260132,169.0,5501.95459,8.977999687,30.00000191,636.2999878,650.9000244,643.6000061
4,61457,Golden Feather Union Elementary,Butte,KK-08,243,14.0,,77.04920197,85.0,7101.831055,8.977999687,none,651.9000244,643.5,647.7000122
5,61523,Palermo Union Elementary,Butte,KK-08,1335,71.5,33.10860062,78.42700195,171.0,5235.987793,9.080332756,13.85767746,641.7999878,639.9000244,640.8500061
6,62042,Burrel Union Elementary,Fresno,KK-08,137,6.400000095,12.31879997,86.95649719,25.0,5580.146973,10.41499996,12.40875912,605.7000122,605.4000244,605.5500182999999
7,68536,Holt Union Elementary,San Joaquin,KK-08,195,10.0,12.90320015,94.623703,28.0,5253.331055,6.577000141,68.71794891,604.5,609.0,606.75
8,63834,Vineland Elementary,Kern,KK-08,888,42.5,18.80629921,100.0,66.0,4565.746094,8.173999786,46.95946121,605.5,612.5,609.0
9,62331,Orange Center Elementary,Fresno,KK-08,379,19.0,32.18999863,93.13980103,35.0,5355.54834,7.385000229,30.07915688,608.9000244,616.0999756,612.5
10,67306,Del Paso Heights Elementary,Sacramento,KK-06,2247,108.0,78.99420166,87.31639862,none,5036.211426,11.61333275,40.27592087,611.9000244,613.4000244,612.6500244
11,65722,Le Grand Union Elementary,Merced,KK-08,446,21.0,18.60989952,85.87439728,,4547.692383,8.930999756,52.91479874,612.7999878,618.7000122,615.75
12,62174,West Fresno Elementary,Fresno,KK-08,987,47.0,71.71309662,98.60559845,56.0,5447.345215,7.385000229,54.60993195,616.5999756,616.0,616.2999878
13,71795,Allensworth Elementary,Tulare,KK-08,103,5.0,22.42989922,98.13079834,25.0,6567.149414,5.335000038,42.71844482,612.7999878,619.7999878,616.2999878
14,72181,Sunnyside Union Elementary,Tulare,KK-08,487,24.34000015,24.6093998,77.14839935,none,4818.612793,8.279000282,20.53388023,610.0,622.5999756,616.2999878
15,72298,Woodville Elementary,Tulare,KK-08,649,36.0,14.63790035,76.27120209,31.0,5621.456055,9.630000114,80.1232605,611.9000244,621.0,616.4500122
16,72041,Pixley Union Elementary,Tulare,KK-08,852,42.06999969,24.21419907,94.29570007,80.0,6026.359863,7.453999996,49.41314316,614.7999878,619.9000244,617.3500061
17,63594,Lost Hills Union Elementary,Kern,KK-08,491,28.92000008,11.20160007,97.75969696,100.0,6723.237793,6.21600008,85.53971863,611.7000122,624.4000244,618.0500182999999
18,63370,Buttonwillow Union Elementary,Kern,KK-08,421,25.5,8.551099777,77.90969849,50.0,5589.885254,7.763999939,58.90736389,614.9000244,621.7000122,618.3000182999999
19,64709,Lennox Elementary,Los Angeles,KK-08,6880,303.0299988,21.28240013,94.97119904,960.0,5064.615723,7.021999836,,619.0999756,620.5,619.7999878
20,63560,Lamont Elementary,Kern,KK-08,2688,135.0,23.4375,93.22920227,139.0,5433.593262,5.698999882,49.81398773,621.2999878,619.2999878,620.2999878
21,63230,Westmorland Union Elementary,Imperial,KK-08,440,24.0,34.77270126,100.0,69.0,5725.563477,7.940999985,40.68181992,615.5999756,625.4000244,620.5
22,72058,Pleasant View Elementary,Tulare,KK-08,475,21.0,21.64949989,91.54640198,53.0,4542.10498,9.630000114,16.21052551,619.9000244,622.9000244,621.4000244
23,63842,Wasco Union Elementary,Kern,KK-08,2538,130.5,18.91110039,,169.0,5107.086426,7.40500021,45.07486343,622.9000244,620.5999756,621.75
24,71811,Alta Vista Elementary,Tulare,KK-08,476,19.0,43.85589981,100.0,none,4659.661621,9.630000114,39.07563019,620.7000122,623.4000244,622.0500182999999
25,65748,Livingston Union Elementary,Merced,KK-08,2357,114.0,16.8010006,90.623703,216.0,4555.464355,8.019000053,76.66525269,619.5,625.7000122,622.6000061
26,72272,Woodlake Union Elementary,Tulare,KK-08,1588,85.0,22.40719986,85.14720154,198.0,5415.152832,8.522999763,40.49118423,625.0,621.2000122,623.1000061
27,65961,Alisal Union Elementary,Monterey,,7306,319.7999878,17.00149918,88.03489685,742.0,4997.871582,7.983181477,73.7202301,620.4000244,626.0,623.2000122
28,63313,Arvin Union Elementary,Kern,KK-08,2601,135.0,15.07110023,92.19529724,269.0,5223.912109,7.304999828,70.01153564,616.5,630.4000244,623.4500122
29,72199,Terra Bella Union Elementary,Tulare,KK-08,847,44.0,16.2928009,90.20069885,67.0,5139.164551,8.934000015,55.96221542,620.0999756,627.0999756,623.5999756
30,72215,Tipton Elementary,Tulare,KK-08,452,22.0,14.49890041,81.02349854,55.0,4614.251953,8.553999901,11.06194687,627.9000244,620.4000244,624.1500244
31,68379,San Ysidro Elementary,San Diego,KK-08,4142,201.0,35.5625,81.50650024,569.0,5342.233398,6.612999916,80.42008972,620.4000244,628.7000122,624.5500182999999
32,75440,Soledad Unified,Monterey,KK-08,2102,99.75,15.31989956,90.28489685,224.0,5347.458496,12.4090004,63.13035583,623.0,626.9000244,624.9500122
33,64816,Mountain View Elementary,Los Angeles,KK-08,10012,464.8999939,29.76390076,91.59339905,721.0,5036.458984,8.126615524,65.12185669,620.7999878,629.7999878,625.2999878
34,66050,King City Union Elementary,Monterey,KK-08,2488,125.0,12.69200039,55.0929985,202.0,5117.141602,11.43099976,53.41640091,626.0999756,625.5999756,625.8499756
35,67819,Ontario-Montclair Elementary,San Bernardino,KK-08,25151,1186.699951,17.44260025,80.19560242,1713.0,5117.039551,11.72222519,49.82307053,625.4000244,626.7999878,626.1000061
36,64758,Los Nietos Elementary,Los Angeles,KK-08,2267,103.6800003,,84.43379974,177.0,5272.191895,11.33250046,35.46537018,625.4000244,628.2000122,626.8000182999999
37,65870,Winton Elementary,Merced,KK-08,1657,90.40000153,28.84729958,84.73139954,204.0,5225.719238,9.597999573,56.12552643,623.5999756,630.2000122,626.8999939
38,62380,Raisin City Elementary,Fresno,KK-08,284,17.5,14.52700043,94.93240356,18.0,6516.533203,14.55799961,32.39436722,628.9000244,625.2999878,627.1000061
39,68999,Ravenswood City Elementary,San Mateo,KK-08,5370,280.0,19.57169914,81.11730194,562.0,4559.176758,22.05999947,65.51210022,624.4000244,630.0999756,627.25
40,63578,Richland-Lerdo Union Elementary,Kern,KK-08,2471,121.8600006,23.79599953,87.77819824,275.0,5119.158203,9.708999634,53.05544281,627.5,627.0999756,627.2999878
41,72538,Oxnard Elementary,Ventura,KK-08,15386,669.3599854,12.50640011,71.43309784,1762.0,5338.185547,11.48294449,49.64253235,627.7999878,628.7000122,628.25
42,65680,El Nido Elementary,Merced,KK-08,184,9.0,22.2826004,85.86959839,40.0,5090.044922,8.17800045,45.10869598,621.5999756,635.2000122,628.3999939
43,63461,Fairfax Elementary,Kern,KK-08,1217,61.40000153,33.90800095,88.09519958,78.0,5485.496094,8.173999786,30.32045937,629.4000244,627.7000122,628.5500182999999
44,63404,Delano Union Elementary,Kern,KK-08,6219,268.0,21.49860001,100.0,571.0,4793.370117,7.5,52.24312592,621.0999756,636.2000122,628.6499939
45,67199,Perris Elementary,Riverside,KK-06,4258,221.0,,92.74310303,324.0,5092.91748,10.05049992,36.80131531,626.5,631.0,628.75
46,65078,Valle Lindo Elementary,Los Angeles,KK-08,1235,53.0,8.218299866,62.13019943,175.0,4359.520996,7.331999779,30.28339958,630.2000122,629.4000244,629.8000182999999
47,69369,Alum Rock Union Elementary,Santa Clara,KK-08,16244,766.6500244,17.4531002,69.73989868,1423.0,5645.495605,12.5815773,49.8645668,629.5,631.2000122,630.3500061
48,63438,Edison Elementary,Kern,KK-08,814,39.0,19.77890015,,85.0,4518.016113,15.17700005,13.75921345,631.9000244,628.9000244,630.4000244
49,63321,Bakersfield City Elementary,Kern,KK-08,27176,1429.0,39.21839905,84.29499817,3324.0,5864.366211,12.109128,28.86370468,631.5999756,629.5,630.5499878
50,69450,Franklin-McKinley Elementary,Santa Clara,KK-08,10696,487.9700012,22.15780067,70.89569855,1306.0,5257.996582,11.78499985,52.80478668,628.5,632.5999756,630.5499878
51,64592,Hawthorne Elementary,Los Angeles,KK-08,8935,444.5,36.94509888,79.51200104,786.0,5016.692383,14.06200027,44.08506012,628.4000244,633.7000122,631.0500182999999
52,65193,Chowchilla Elementary,Madera,KK-08,1600,74.5,27.26140022,79.72550201,242.0,4720.086426,10.47200012,35.25,635.7000122,627.0999756,631.3999939
53,66142,Salinas City Elementary,Monterey,KK-06,9028,449.9200134,13.98849964,,669.0,5470.5625,13.40511703,37.49446106,633.0,630.7000122,631.8500061
54,69120,Santa Maria-Bonita Elementary,Santa Barbara,KK-08,10625,521.4699707,7.497499943,77.52559662,896.0,5615.441895,12.30179977,50.39059067,629.5999756,634.2000122,631.8999939
55,65110,Whittier City Elementary,Los Angeles,KK-08,7151,318.5799866,18.54809952,61.73820114,560.0,5245.439941,15.40407085,31.07257843,634.2000122,629.7000122,631.9500122
56,64477,Eastside Union Elementary,Los Angeles,KK-08,2404,105.0,20.92740059,52.94350052,202.0,4838.175293,13.76200008,18.26123238,633.5,630.5,632.0
57,64691,Lawndale Elementary,Los Angeles,KK-08,5804,283.1499939,28.34250069,81.11650085,480.0,5367.988281,14.18400002,34.70020676,631.4000244,633.0,632.2000122
58,67421,Robla Elementary,Sacramento,KK-06,2253,112.6500015,43.49760056,84.55390167,196.0,5526.236816,8.864999771,33.28894806,637.5,627.0,632.25
59,66191,Santa Rita Union Elementary,Monterey,KK-08,2807,126.1200027,15.45950031,52.39640045,152.0,4353.019531,12.99699974,33.48770905,637.2999878,627.5999756,632.4499817000001
60,72561,Rio Elementary,Ventura,KK-08,3074,142.5500031,11.28979969,66.19490051,249.0,5034.290039,11.59200001,38.15875244,633.2000122,632.5,632.8500061
61,72157,Strathmore Union Elementary,Tulare,KK-08,723,37.11999893,25.92110062,83.15789795,45.0,4692.493652,8.279000282,36.92946243,629.2000122,636.7000122,632.9500122
62,67397,North Sacramento Elementary,Sacramento,KK-06,5138,290.7749939,58.75220108,84.99900055,560.0,5606.781738,10.90564251,32.98949051,630.2999878,635.7999878,633.0499878
63,66423,Anaheim Elementary,Orange,KK-06,20927,953.5,10.91139984,82.39260101,1048.0,4969.180664,13.40062523,58.21665573,629.5999756,636.7000122,633.1499939
64,63974,Lemoore Union Elementary,Kings,KK-08,3017,138.5,14.97679996,56.06359863,496.0,4675.674805,11.08100033,17.00364685,634.4000244,632.9000244,633.6500244
65,63875,Armona Union Elementary,Kings,KK-08,957,50.0,27.16819954,,149.0,5306.132813,9.081999779,17.65935326,634.7000122,633.0999756,633.8999939
66,63339,Beardsley Elementary,Kern,KK-08,1639,90.5,46.88819885,80.60420227,287.0,5693.883301,13.39000034,7.321537495,638.4000244,629.5999756,634.0
67,65037,South Whittier Elementary,Los Angeles,KK-08,4340,209.8399963,17.70260048,93.92269897,284.0,5181.57959,14.60162544,31.19815636,631.9000244,636.2000122,634.0500182999999
68,63917,Hanford Elementary,Kings,KK-08,5079,224.5,25.55929947,63.80360031,585.0,5228.650879,11.11600018,16.61744499,637.7000122,630.5,634.1000061
69,68221,National Elementary,San Diego,KK-06,6639,304.730011,26.84140015,100.0,505.0,5339.391113,8.423000336,58.08103561,631.5,636.7000122,634.1000061
70,70904,Roseland Elementary,Sonoma,,1154,62.09999847,22.92770004,84.92060089,129.0,6056.49707,11.66499996,55.89254379,636.7999878,631.5,634.1499939
71,63420,Di Giorgio Elementary,Kern,KK-08,237,11.0,19.83119965,76.79319763,13.0,4845.680176,7.304999828,5.485232353,631.7999878,636.5999756,634.1999817000001
72,64642,Keppel Union Elementary,Los Angeles,KK-08,2987,141.2100067,21.25880051,68.39640045,273.0,4826.666016,13.7305994,14.4291935,637.7000122,631.0999756,634.3999939
73,63966,Lakeside Union Elementary,Kings,KK-08,499,30.0,40.36700058,,94.0,5367.090332,11.11600018,22.84569168,635.5,633.5999756,634.5499878
74,65771,Merced City Elementary,Merced,KK-08,11474,542.6500244,40.55260086,77.0089035,1248.0,5742.73291,10.36442852,38.78333664,633.2000122,636.2000122,634.7000122
75,69203,Guadalupe Union Elementary,Santa Barbara,KK-08,1088,55.0,14.15439987,86.02940369,107.0,4136.250977,6.982999802,64.24632263,631.0999756,638.7000122,634.8999939
76,67694,Cucamonga Elementary,San Bernardino,KK-08,2660,140.1199951,15.76010036,74.85099792,259.0,5267.831055,14.46780014,25.22556496,637.7999878,632.0999756,634.9499817000001
77,61705,Knightsen Elementary,Contra Costa,KK-08,353,19.97999954,8.672100067,33.06230164,8.0,5238.39209,14.65299988,5.382436275,636.5999756,633.5,635.0499878
78,63008,Rio Dell Elementary,Humboldt,KK-08,329,18.53000069,28.91570091,85.54219818,37.0,5462.899414,10.62899971,6.079027653,644.2999878,626.0999756,635.1999817000001
79,70417,Montague Elementary,Siskiyou,KK-08,252,16.5,23.45680046,66.25509644,32.0,6313.373535,9.781000137,none,640.9000244,630.0,635.4500122
80,70409,McCloud Union Elementary,Siskiyou,KK-08,175,12.5,21.76469994,68.82350159,31.0,6653.030762,10.65600014,none,634.5999756,636.5999756,635.5999756
81,72587,Santa Paula Elementary,Ventura,KK-08,3835,186.1999969,13.99110031,72.8628006,897.0,5533.149414,11.93799973,34.88917923,633.0,638.2000122,635.6000061
82,62539,West Park Elementary,Fresno,,314,19.25,29.93630028,93.63059998,8.0,6118.710449,7.385000229,13.05732441,636.7000122,634.7999878,635.75
83,65631,Atwater Elementary,Merced,KK-08,4458,211.0,22.22220039,72.32080078,445.0,5098.626953,10.67599964,36.0251236,633.2000122,638.7000122,635.9500122
84,65862,Weaver Union Elementary,Merced,KK-08,1313,,32.08679962,73.59760284,112.0,5652.878906,9.972000122,34.65346527,633.9000244,638.2999878,636.1000061
85,62356,Pacific Union Elementary,Fresno,KK-08,474,26.5,21.5189991,75.73840332,36.0,5329.002441,8.258000374,28.69198227,634.7000122,638.2999878,636.5
86,75051,Lucerne Valley Unified,San Bernardino,KK-08,1114,57.70000076,29.44680023,62.21279907,277.0,5929.809082,8.895999908,1.795332193,645.4000244,627.7999878,636.6000061
87,67231,Romoland Elementary,Riverside,KK-06,1358,65.0,14.79030037,80.86830139,178.0,4897.067871,12.06200027,30.63328552,632.2999878,641.0999756,636.6999817000001
88,64501,El Monte City Elementary,Los Angeles,KK-08,11629,546.2999878,25.37940025,83.873703,1015.0,5100.202148,9.428894997,59.0334549,632.4000244,641.4000244,636.9000244
89,63503,Greenfield Union Elementary,Kern,KK-08,6195,306.75,21.04330063,68.57189941,1261.0,4825.722656,8.920332909,13.55932236,636.2000122,637.7000122,636.9500122
90,72033,Palo Verde Union Elementary,Tulare,KK-08,499,20.0,23.69939995,80.92489624,35.0,4079.12915,10.09799957,5.010019779,636.0999756,637.9000244,637.0
91,67322,Elverta Joint Elementary,Sacramento,KK-08,417,23.0,19.90410042,46.04320145,27.0,5349.367676,11.82999992,0.959232628,638.0,636.2000122,637.1000061
92,64048,Lucerne Elementary,Lake,KK-08,300,15.0,48.3443985,72.18540192,55.0,5869.38916,11.55300045,0.666666687,640.9000244,633.7999878,637.3500061
93,69542,Luther Burbank Elementary,Santa Clara,KK-08,457,24.39999962,16.81609917,67.71299744,50.0,6462.12793,19.70700073,38.51203537,644.9000244,630.4000244,637.6500244
94,61382,Bangor Union Elementary,Butte,KK-08,146,8.0,25.34250069,54.10960007,34.0,6231.601563,7.105000019,none,646.0999756,629.7999878,637.9499817000001
95,68858,Bayshore Elementary,San Mateo,KK-08,460,24.21999931,10.59319973,66.94920349,71.0,4993.867676,13.72500038,17.17391396,633.2000122,642.7000122,637.9500122
96,72017,Oak Valley Union Elementary,Tulare,KK-08,354,17.79999924,10.27779961,59.72219849,28.0,4663.811035,10.09799957,9.887005806,636.7000122,639.2999878,638.0
97,65151,Wilsona Elementary,Los Angeles,KK-08,1841,95.0,25.25799942,64.74739838,315.0,6107.106445,13.76200008,19.39163589,640.4000244,636.0,638.2000122
98,63073,Brawley Elementary,Imperial,KK-08,3760,183.75,26.90159988,65.7960968,717.0,5324.228027,9.664999962,36.48936081,636.2000122,640.4000244,638.3000182999999
99,63198,Meadows Union Elementary,Imperial,KK-08,500,22.43000031,18.79999924,83.0,70.0,5221.460938,10.26399994,39.39999771,630.4000244,646.2000122,638.3000182999999
100,64717,Little Lake City Elementary,Los Angeles,KK-08,5112,246.8999939,10.69120026,59.7234993,383.0,5157.784668,11.56920052,28.67762184,638.5999756,638.0999756,638.3499756
101,63719,Pond Union Elementary,Kern,KK-08,146,7.659999847,13.69859982,66.43840027,28.0,5131.119141,7.40500021,13.69863033,637.5,639.5999756,638.5499878
102,63800,Taft City Elementary,Kern,KK-08,2141,105.8199997,26.49650002,65.38279724,134.0,5279.354004,12.07699966,11.34983635,636.9000244,640.5,638.7000122
103,71357,Brittan Elementary,Sutter,KK-08,610,30.97999954,8.524600029,56.06560135,144.0,4704.043945,11.28299999,3.442623138,640.2999878,638.2000122,639.25
104,65557,Arena Union Elementary,Mendocino,KK-08,337,16.54999924,21.26250076,60.13290024,26.0,6089.910645,10.03499985,15.43026733,642.7000122,635.9000244,639.3000182999999
105,67587,Adelanto Elementary,San Bernardino,KK-08,4501,227.8500061,19.12969971,63.9054985,597.0,5356.833496,8.383999825,17.97378349,639.9000244,638.7999878,639.3500061
106,67470,Hollister School District,San Benito,KK-08,5718,295.0499878,6.84070015,37.04560089,313.0,5144.549316,13.63000011,,641.4000244,637.5999756,639.5
107,64857,Palmdale Elementary,Los Angeles,KK-08,19402,846.3800049,20.52370071,51.24209976,1182.0,4906.22998,14.12766743,18.43624496,641.7000122,637.7999878,639.75
108,61507,Oroville City Elementary,Butte,KK-08,3401,175.5500031,52.21989822,74.27230072,560.0,5489.588867,11.26612473,16.17171478,641.5,638.0999756,639.7999878
109,63792,Standard Elementary,Kern,KK-08,2621,136.8300018,25.82979965,64.09770203,397.0,5718.55127,13.39000034,2.02212882,641.4000244,638.2999878,639.8500061
110,72447,Briggs Elementary,Ventura,KK-08,426,20.0,3.990600109,64.78869629,87.0,4436.152832,11.93799973,9.62441349,634.2999878,645.5,639.8999939
111,62323,Monroe Elementary,Fresno,KK-08,205,11.19999981,18.53660011,80.9756012,24.0,4895.439453,8.258000374,41.46341324,643.5,636.7000122,640.1000061
112,64667,Lancaster Elementary,Los Angeles,KK-08,13668,648.4099731,28.1753006,56.29940033,1321.0,5159.21875,14.22672749,9.8990345,640.4000244,639.9000244,640.1500244
113,65177,Alview-Dairyland Union Elementary,Madera,KK-08,342,18.20000076,11.39599991,68.09120178,98.0,5490.654785,10.47200012,16.08187103,637.7000122,643.2999878,640.5
114,66589,Magnolia Elementary,Orange,KK-06,6518,332.1000061,12.27910042,71.02380371,499.0,5172.019531,14.24290085,43.4949379,638.5,643.0,640.75
115,71985,Liberty Elementary,Tulare,KK-08,239,12.19999981,15.61180019,69.62030029,30.0,4441.672852,14.06599998,8.786610603,644.9000244,636.9000244,640.9000244
116,69617,Mt. Pleasant Elementary,Santa Clara,KK-08,2911,139.4700012,11.92850018,52.9734993,281.0,5220.370117,15.96800041,39.02438736,640.4000244,641.7999878,641.1000061
117,63123,El Centro Elementary,Imperial,KK-08,6272,297.0400085,28.71999931,71.76239777,1338.0,5252.810547,10.26399994,53.89030457,639.2999878,643.5999756,641.4499817000001
118,68395,South Bay Union Elementary,San Diego,KK-06,10218,508.75,17.42020035,70.80639648,1435.0,5518.702148,10.6024704,41.13329315,638.5999756,644.2999878,641.4499817000001
119,69914,Cascade Union Elementary,Shasta,KK-08,1735,87.13999939,47.2621994,75.50430298,222.0,5609.487793,10.52299976,1.383285284,640.7999878,642.2999878,641.5499878
120,71969,Kings River Union Elementary,Tulare,KK-08,474,26.61000061,20.67510033,82.06749725,96.0,4945.031738,11.23799992,35.44303894,638.9000244,644.7000122,641.8000182999999
121,71548,Gerber Union Elementary,Tehama,KK-08,544,30.0,20.55050087,74.86239624,145.0,5223.025391,10.05599976,8.639705658,641.7999878,642.5999756,642.1999817000001
122,71910,Exeter Union Elementary,Tulare,KK-08,1987,103.3700027,15.28120041,54.65409851,283.0,4757.025391,11.18299961,15.34977436,637.0,647.4000244,642.2000122
123,62000,American Union Elementary,Fresno,KK-08,418,22.39999962,10.69649982,63.43280029,50.0,5522.161621,7.385000229,19.85645866,640.2000122,644.5999756,642.3999939
124,66167,San Antonio Union Elementary,Monterey,KK-08,196,10.0,19.68910027,47.15029907,40.0,6087.608887,13.57900047,3.061224461,652.5999756,632.9000244,642.75
125,71837,Burton Elementary,Tulare,KK-08,2208,114.5,14.41399956,53.21060181,92.0,4960.515625,9.630000114,9.873188019,642.0,644.0999756,643.0499878
126,67157,Nuview Union Elementary,Riverside,KK-08,1255,,11.32219982,44.25970078,165.0,4880.040527,15.27400017,16.09561729,642.5999756,643.7999878,643.1999817000001
127,70615,Bellevue Union Elementary,Sonoma,KK-06,1469,78.09999847,20.96660042,80.25869751,65.0,6538.417969,14.03425026,43.49897766,639.4000244,647.0999756,643.25
128,64550,Garvey Elementary,Los Angeles,KK-08,7114,332.8399963,34.59420013,82.57219696,680.0,4925.659668,10.23966694,45.03795242,638.9000244,647.9000244,643.4000244
129,71498,Corning Union Elementary,Tehama,KK-08,1962,98.0,24.4151001,67.75180054,170.0,5204.6875,9.484999657,18.19571877,641.7000122,645.0999756,643.3999939
130,68916,Jefferson Elementary,San Mateo,KK-08,7761,361.0,6.49119997,44.47660065,658.0,4907.410645,15.0298748,15.48769474,644.2000122,642.7999878,643.5
131,70185,Big Springs Union Elementary,Siskiyou,KK-08,216,14.0,9.416999817,48.87889862,47.0,5923.45166,9.781000137,0.92592591,652.7000122,634.2999878,643.5
132,63487,General Shafter Elementary,Kern,KK-08,224,10.0,7.14289999,58.03570175,31.0,4741.957031,13.19200039,7.589285851,633.5999756,653.7999878,643.6999817000001
133,71308,Turlock Joint Elementary,Stanislaus,KK-08,7887,391.8599854,16.40239906,57.07220078,1004.0,4954.019531,12.2159996,29.08583832,645.7000122,641.7000122,643.7000122
134,72421,Twain Harte-Long Barn Union Elementary,Tuolumne,KK-08,752,39.5,11.71049976,34.07889938,none,5500.10791,14.07600021,0.132978722,652.2999878,636.0999756,644.1999817000001
135,69005,Redwood City Elementary,San Mateo,KK-08,9328,537.8800049,7.487500191,39.03680038,1719.0,5360.51709,25.4873333,50.85763168,644.5,643.9000244,644.2000122
136,61846,Camino Union Elementary,El Dorado,KK-08,548,32.20000076,7.664199829,31.38689995,35.0,,14.86699963,11.49635029,652.0999756,636.7000122,644.3999939
137,65813,Plainsburg Union Elementary,Merced,KK-08,104,5.0,32.38100052,49.5237999,19.0,5594.196289,9.972000122,13.46153927,649.5,639.4000244,644.4500122
138,68486,Banta Elementary,San Joaquin,KK-08,275,13.0,12.72729969,45.81819916,4.0,4692.566895,14.57800007,4.727272511,643.2000122,645.7000122,644.4500122
139,62513,Washington Colony Elementary,Fresno,KK-08,443,24.0,14.22119999,69.97740173,52.0,5085.40625,7.385000229,21.44469452,644.2999878,644.7000122,644.5
140,67405,Rio Linda Union Elementary,Sacramento,KK-06,10337,540.0499878,37.22689819,58.54539871,1268.0,5456.197266,12.34300041,12.35368061,646.0,643.0999756,644.5499878
